achka	[achka]	a ch k a
ahorrayqa	[ahorrayqa]	a h o rr a y al
allin	[allin]	a ll i n
allinchiki	[allinchiki]	a ll i n ch i k i
allinchu	[allinchu]	a ll i n ch u
allinllachu	[allinllachu]	a ll i n ll a ch u
allinmi	[allinmi]	a ll i n m i
allinta	[allinta]	a ll i n t a
allintam	[allintam]	a ll i n t a m
allpata	[allpata]	a ll p a t a
ama	[ama]	a m a
aman	[aman]	a m a n
ancha	[ancha]	a n ch a
apu	[apu]	a p u
apullikuna	[apullikuna]	a p u ll i k u n a
apullikunaq	[apullikunaq]	a p u ll i k u n a q
apusimi	[apusimi]	a p u s i m i
aqllayman	[aqllayman]	a q ll a y m a n
aqllayta	[aqllayta]	a q ll a y t a
ari	[ari]	a r i
ariya	[ariya]	a r i y a
as	[as]	a s
asllamanta	[asllamanta]	a s ll a m a n t a
asnuqa	[asnuqa]	a s n ul a
aswan	[aswan]	a s w a n
aswanqa	[aswanqa]	a s w a n al
aswantaqa	[aswantaqa]	a s w a n t a al
atinallam	[atinallam]	a t i n a ll a m
atinchu	[atinchu]	a t i n ch u
atiwaqmi	[atiwaqmi]	a t i w a q m i
atuqpa	[atuqpa]	a t ul p a
aw	[aw]	a w
ay	[ay]	a y
ayllupi	[ayllupi]	a y ll u p i
bancomanta	[bancomanta]	b a n c o m a n t a
bancopi	[bancopi]	b a n c o p i
cajeromanta	[cajeromanta]	c a j e r o m a n t a
chanin	[chanin]	ch a n i n
chaninta	[chaninta]	ch a n i n t a
chaski	[chaski]	ch a s k i
chawpi	[chawpi]	ch a w p i
chay	[chay]	ch a y
chayman	[chayman]	ch a y m a n
chaymanta	[chaymanta]	ch a y m a n t a
chaymantaqa	[chaymantaqa]	ch a y m a n t a al
chaymi	[chaymi]	ch a y m i
chayna	[chayna]	ch a y n a
chaynalla	[chaynalla]	ch a y n a ll a
chaynallataq	[chaynallataq]	ch a y n a ll a t a q
chaynallataqmi	[chaynallataqmi]	ch a y n a ll a t a q m i
chaynam	[chaynam]	ch a y n a m
chaynaqa	[chaynaqa]	ch a y n a al
chaynata	[chaynata]	ch a y n a t a
chaynatam	[chaynatam]	ch a y n a t a m
chaypaq	[chaypaq]	ch a y p a q
chaypi	[chaypi]	ch a y p i
chaypim	[chaypim]	ch a y p i m
chayqa	[chayqa]	ch a y al
chayraykum	[chayraykum]	ch a y r a y k u m
chaysi	[chaysi]	ch a y s i
chayta	[chayta]	ch a y t a
chaytam	[chaytam]	ch a y t a m
chaytaqa	[chaytaqa]	ch a y t a al
chaywan	[chaywan]	ch a y w a n
chiqapmi	[chiqapmi]	ch i al p m i
chiyqa	[chiyqa]	ch i y al
chunka	[chunka]	ch u n k a
chupan	[chupan]	ch u p a n
churaniku	[churaniku]	ch u r a n i k u
churanku	[churanku]	ch u r a n k u
churay	[churay]	ch u r a y
churayta	[churayta]	ch u r a y t a
hachawanqu	[hachawanqu]	h a ch a w a n q u
hachawanqukunan	[hachawanqukunan]	h a ch a w a n q u k u n a n
hachawanquq	[hachawanquq]	h a ch a w a n q ul
hampikunata	[hampikunata]	h a m p i k u n a t a
hatun	[hatun]	h a t u n
hawa	[hawa]	h a w a
hawan	[hawan]	h a w a n
hawka	[hawka]	h a w k a
